chemical,Drug
CIDs00229860,Hydrocortisone
CIDs00248271,Methenolone Enanthate
CIDs00259331,Estramustine
CIDs00272833,Phenethicillin
CIDs00275196,Noscapine
CIDs00387447,Bortezomib
CIDs00392622,Ritonavir
CIDs00439693,Pentostatin
CIDs00441140,Griseofulvin
CIDs00441199,Cefoxitin
CIDs00441207,Digitoxin
CIDs00441290,Rocuronium
CIDs00441335,Mometasone
CIDs00441397,Bacampicillin
CIDs00441401,Linezolid
CIDs00443872,Eplerenone
CIDs00443943,Halcinonide
CIDs00443955,Vinpocetine
CIDs00444008,Tibolone
CIDs00444033,Ciclesonide
CIDs00445580,Docosahexaenoic Acid
CIDs00445643,Tacrolimus
CIDs00446155,Fluvastatin
CIDs00446157,Rosuvastatin
CIDs00446596,Mupirocin
CIDs00446598,Clindamycin
CIDs00447043,Azithromycin
CIDs00448537,Estrogen
CIDs00448812,Eptifibatide
CIDs00449171,Alitretinoin
CIDs00449193,Roflumilast
CIDs00451668,Decitabine
CIDs00452548,Teniposide
CIDs00452550,Tyrothricin
CIDs00456201,Ketoconazole
CIDs00460612,Melphalan
CIDs00468595,Posaconazole
CIDs00471161,Maribavir
CIDs00477468,Micafungin
CIDs00522606,Sodium Perchlorate
CIDs00540288,Parthenium
CIDs00610479,Tolfenamic Acid
CIDs00636392,Pentetreotide
CIDs00637511,Cinnamaldehyde
CIDs00637566,Geraniol
CIDs00637568,Dimethyl Fumarate
CIDs00643460,Sorbic Acid
CIDs00644073,Buprenorphine
CIDs00656511,Mezlocillin
CIDs00656583,Trilostane
CIDs00666418,Prothionamide
CIDs00667467,Chlorprothixene
