Log P_Xlogp3,bond_chiral_undef,Isotope_Atom,Count_Hydrogen Bond Donor,charge,Count_Rotatable Bond,Count_Hydrogen Bond Acceptor,atom_chiral_undef,cid,Mass_Exact,Molecular Weight_N/A,bond_chiral_def,Heavy_Atom,atom_chiral_def,Compound Complexity_N/A,Covalent_Unit,Topological_Polar Surface Area,Weight_Monoisotopic
2.6,0,0,1,0,1,3,0,19090,342.21949481,342.5,0,25,6,717,1,54.4,342.21949481
-2.8,0,0,6,0,6,6,0,8567,195.11067264,195.21,0,13,4,134,1,113,195.11067264
0.8,0,0,2,0,4,2,0,896,232.121177757,232.28,0,17,0,270,1,54.1,232.121177757
3,0,0,2,0,2,7,0,54677470,351.03474825,351.4,0,23,0,628,1,136,351.03474825
3.3,0,0,0,0,5,3,0,15387,263.16854249,263.35,0,19,0,278,1,20.3,263.16854249
-0.5,0,0,2,0,8,4,0,460612,304.0745332,305.20,0,19,1,265,1,66.6,304.0745332
3.3,0,0,1,0,0,1,2,4054,179.167399674,179.30,0,13,0,240,1,26,179.167399674
3,0,0,0,0,5,1,0,21888462,142.135765193,142.24,0,10,0,89.4,1,17.1,142.135765193
2.7,0,0,0,0,1,1,0,26447,154.135765193,154.25,0,11,2,149,1,17.1,154.135765193
5,0,0,0,0,6,2,3,78941,240.208930132,240.38,0,17,0,235,1,26.3,240.208930132
6,0,0,1,0,9,4,1,237,399.2077403,400.0,0,28,0,461,1,37.4,399.2077403
3.2,0,0,1,1,5,3,1,4057,340.19126869,340.4,0,25,0,432,1,46.5,340.19126869
1.9,0,0,1,0,2,2,1,4062,246.173213330,246.35,0,18,0,282,1,32.3,246.173213330
0.7,0,0,2,0,8,4,0,4064,218.12665706,218.25,0,15,0,212,1,105,218.12665706
3.4,0,0,1,0,2,2,1,41049,233.177964357,233.35,0,17,0,243,1,23.5,233.177964357
3.3,0,0,0,0,7,4,0,4992,285.184112366,285.4,0,21,0,277,1,28.6,285.184112366
4.6,0,0,0,0,2,3,1,4066,322.15036988,322.5,0,23,0,398,1,31.8,322.15036988
-0.4,0,0,2,0,1,2,0,6058,77.02992040,77.15,0,4,0,10,1,27,77.02992040
0,0,0,2,0,0,2,0,667490,152.01566732,152.18,0,10,0,190,1,85.2,152.01566732
-2.4,0,0,3,0,5,7,0,441130,383.15149208,383.5,0,26,6,679,1,135,383.15149208
1.3,0,0,3,0,1,4,0,4075,153.042593085,153.14,0,11,0,160,1,83.6,153.042593085
N/A,0,0,1,0,2,4,0,23662354,163.95778065,164.18,0,8,0,123,2,66.6,163.95778065
4.1,0,0,1,0,0,2,0,15020,304.240230259,304.5,0,22,8,486,1,37.3,304.240230259
4,0,0,1,0,2,2,0,6291,310.193280068,310.4,0,23,5,519,1,29.5,310.193280068
-0.4,0,0,3,0,2,3,0,5906,167.094628657,167.20,0,12,2,140,1,66.5,167.094628657
2.2,0,0,1,0,3,3,1,15459,221.10519334,221.25,0,16,0,247,1,47.6,221.10519334
3.8,0,0,1,0,5,3,0,28693,403.22597718,403.5,0,30,3,607,1,46.5,403.22597718
-1.3,0,0,3,0,2,1,0,4091,129.10144537,129.16,0,9,0,132,1,91.5,129.10144537
0.9,0,0,1,0,1,2,0,4093,86.036779430,86.09,0,6,0,83.5,1,37.3,86.036779430
3.9,0,0,0,0,7,2,1,4095,309.209264485,309.4,0,23,0,346,1,20.3,309.209264485
3.6,0,0,1,0,0,2,0,6300,300.208930132,300.4,0,22,6,589,1,37.3,300.208930132
